,,,,,,,,,,degrees C,ms/cm,ppt,,
Sampling Date,Year,Month,Sample Source,Exp,P Number,Sample ID,Chamber,Sipper,Time ,Temp,Cond,Salinity,pH,Flag
10/22/2014,2014,10,PW,Control,P75181,N/A,1,1,11:43,31.85,12.88,7.33,6.66,
10/22/2014,2014,10,PW,Control,P75181,N/A,1,2,11:51,28.02,15.77,9.17,6.69,
10/22/2014,2014,10,PW,Control,P75181,6,1,3,11:48,28.48,14.61,8.44,6.66,
10/22/2014,2014,10,PW,Control,P75181,6,1,4,11:53,29.27,11.51,6.51,6.51,
10/22/2014,2014,10,PW,Control,P75181,6,1,5,11:46,29.4,13.03,7.44,6.64,
10/22/2014,2014,10,PW,Control,P75181,N/A,3,1,12:02,29.07,17.09,9.99,6.87,
10/22/2014,2014,10,PW,Control,P75181,N/A,3,2,11:56,27.91,16.03,9.34,6.45,
10/22/2014,2014,10,PW,Control,P75181,8,3,3,11:59,28.1,14.08,8.11,6.67,
10/22/2014,2014,10,PW,Control,P75181,8,3,4,12:04,28.75,16.19,9.42,6.74,
10/22/2014,2014,10,PW,Control,P75181,8,3,5,12:07,27.38,16.58,9.69,6.64,
10/22/2014,2014,10,PW,Control,P75181,N/A,5,1,12:23,20.44,16.71,9.76,6.92,
10/22/2014,2014,10,PW,Control,P75181,N/A,5,2,12:25,27.97,16.54,9.66,6.72,
10/22/2014,2014,10,PW,Control,P75181,10,5,3,12:27,28,12.87,7.36,6.72,
10/22/2014,2014,10,PW,Control,P75181,10,5,4,12:33,28.06,13.45,7.72,6.88,
10/22/2014,2014,10,PW,Control,P75181,10,5,5,12:31,28.6,16.37,9.55,6.8,
10/22/2014,2014,10,PW,Control,P75181,N/A,7,1,12:40,27.06,11.69,6.64,6.79,
10/22/2014,2014,10,PW,Control,P75181,N/A,7,2,12:52,28.05,14.88,8.61,6.79,
10/22/2014,2014,10,PW,Control,P75181,12,7,3,12:43,26.61,13.95,8.04,6.71,
10/22/2014,2014,10,PW,Control,P75181,12,7,4,12:50,26.51,11.07,6.27,6.79,
10/22/2014,2014,10,PW,Control,P75181,12,7,5,12:17,26.7,12.44,7.1,6.79,
